"Comment","Designator","Footprint","LCSC Part #"
"D","D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D1,D12","D_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C125059"
"WS2812B-2020-JLCPCB","WS2,WS3,WS4,WS5,WS6,WS7,WS8,WS9,WS10,WS11,WS1,WS12","ws2812b-2020-2.0mmx2.0mm","C965555"
